pooling,mean_qwk_train,mean_qwk_test,qwk_organizational_structure,qwk_coherence,qwk_essay_length,qwk_grammatical_accuracy,qwk_grammatical_diversity,qwk_lexical_accuracy,qwk_lexical_diversity,qwk_punctuation_accuracy
cls,0.7455171322767296,0.6070714843938207,0.5646940470480892,0.666659239287863,0.5098735083920751,0.6625395515201541,0.608425104063345,0.5927520982699979,0.6380992232654236,0.6135291033036183
mean,0.6452905622567016,0.5159442645396436,0.47905771956404863,0.5412416937104003,0.4613262235437917,0.6441000543773789,0.511344975796433,0.48163548163548153,0.5181701062252364,0.4906778614643783
max,0.7772462876826327,0.5821038228612433,0.5531810366003439,0.5857897427159653,0.5405638957606154,0.6136332083853949,0.6111846191234844,0.6069319453670255,0.5661553377887045,0.5793907971484122
